2021-06-09 13:55:48|3946|41.7987,0.6669|14.6305|
2021-06-09 13:55:59|3951|41.7987,0.6671|12.5848|
2021-06-09 13:56:09|3956|41.7987,0.6672|11.7315|
2021-06-09 13:56:19|3960|41.7986,0.6673|12.3278|
2021-06-09 13:56:29|3965|41.7986,0.6675|12.1427|
2021-06-09 13:56:39|3971|41.7985,0.6676|10.3869|
2021-06-09 13:56:49|3976|41.7985,0.6677|8.6671|
2021-06-09 13:56:59|3981|41.7984,0.6677|9.6997|
2021-06-09 13:57:10|3986|41.7984,0.6678|11.4591|
2021-06-09 13:57:20|3992|41.7983,0.668|11.8318|
2021-06-09 13:57:30|3999|41.7982,0.6681|11.4704|
2021-06-09 13:57:40|4006|41.7982,0.6682|12.2903|
2021-06-09 13:57:50|4013|41.7981,0.6683|14.4126|
2021-06-09 13:58:11|5425|41.7828,0.7062|17.8939|
2021-06-09 13:58:21|5431|41.7827,0.7064|17.808|
2021-06-09 13:58:31|5437|41.7826,0.7066|17.0689|
2021-06-09 13:58:41|5443|41.7825,0.7067|15.7762|
2021-06-09 13:58:51|5450|41.7824,0.7069|14.4665|
2021-06-09 13:59:01|5456|41.7824,0.707|13.9387|
2021-06-09 13:59:11|5463|41.7823,0.7072|13.8091|
2021-06-09 13:59:22|5470|41.7823,0.7073|14.6973|
2021-06-09 13:59:32|5477|41.7822,0.7075|16.3987|
2021-06-09 13:59:42|5483|41.7822,0.7077|18.2634|
2021-06-09 13:59:52|5490|41.7821,0.7079|18.0995|
2021-06-09 14:00:02|5497|41.782,0.7081|15.8209|
2021-06-09 14:00:12|5504|41.7819,0.7082|13.7495|
2021-06-09 14:00:22|5511|41.7818,0.7083|13.1188|
2021-06-09 14:00:32|5517|41.7818,0.7085|13.1872|
2021-06-09 14:00:43|5524|41.7817,0.7086|13.9947|
2021-06-09 14:00:53|5531|41.7817,0.7088|15.7721|
2021-06-09 14:01:03|5537|41.7816,0.709|17.8908|
2021-06-09 14:01:13|5544|41.7815,0.7092|18.2948|
2021-06-09 14:01:23|5551|41.7814,0.7093|17.842|
2021-06-09 14:01:33|5557|41.7813,0.7095|16.9625|
2021-06-09 14:01:43|5563|41.7812,0.7096|15.2458|
2021-06-09 14:01:54|5570|41.7812,0.7098|13.7814|
2021-06-09 14:02:04|5575|41.7811,0.7099|13.1276|
2021-06-09 14:02:14|5580|41.781,0.71|13.0453|
2021-06-09 14:02:24|5586|41.781,0.7102|13.914|
2021-06-09 14:02:34|7045|41.7582,0.749|15.3388|
2021-06-09 14:02:44|7051|41.7582,0.7491|15.7813|
2021-06-09 14:02:54|7058|41.7581,0.7493|17.0705|
2021-06-09 14:03:05|7064|41.758,0.7495|19.2611|
2021-06-09 14:03:15|7070|41.7579,0.7497|19.4492|
2021-06-09 14:03:25|7077|41.7578,0.7499|16.4758|
2021-06-09 14:03:35|7084|41.7578,0.75|13.7526|
2021-06-09 14:03:45|7090|41.7577,0.7501|13.8554|
2021-06-09 14:03:55|7097|41.7576,0.7503|15.1609|
2021-06-09 14:04:05|7105|41.7575,0.7504|15.4385|
2021-06-09 14:04:16|7112|41.7574,0.7506|14.464|
2021-06-09 14:04:26|7119|41.7573,0.7507|13.5891|
2021-06-09 14:04:36|7125|41.7573,0.7508|14.3504|
2021-06-09 14:04:46|7131|41.7571,0.7509|17.6569|
2021-06-09 14:04:56|7136|41.757,0.7511|19.8754|
2021-06-09 14:05:06|7141|41.7569,0.7513|18.668|
2021-06-09 14:05:16|7146|41.7568,0.7515|17.4046|
2021-06-09 14:05:27|7151|41.7568,0.7517|18.0501|
